0  10000
1  9741
2  9438
3  9111
4  8917
5  8729
6  8432
7  8320
8  8020
9  7875
10  7478
11  7354
12  6936
13  6802
14  6595
15  6426
16  6128
17  5952
18  5778
19  5499
20  5337
21  4998
22  4815
23  4692
24  4506
25  4271
26  4130
27  3905
28  3648
29  3531
30  3403
31  3208
32  3092
33  2954
34  2803
35  2716
36  2523
37  2402
38  2323
39  2209
40  2074
41  1960
42  1837
43  1697
44  1577
45  1559
46  1488
47  1399
48  1309
49  1241
50  1101
51  1143
52  1001
53  988
54  885
55  745
56  740
57  733
58  706
59  635
60  616
61  553
62  505
63  441
64  467
65  399
66  365
67  344
68  297
69  297
70  246
71  260
72  245
73  211
74  199
75  190
76  151
77  140
78  140
79  130
80  94
81  98
82  97
83  89
84  85
85  66
86  69
87  51
88  50
89  43
90  51
91  29
92  31
93  32
94  28
95  14
96  11
97  3
98  5
99  0
