0  1000
1  957
2  945
3  920
4  912
5  851
6  852
7  784
8  867
9  791
10  742
11  768
12  721
13  660
14  705
15  667
16  650
17  606
18  544
19  500
20  560
21  500
22  489
23  497
24  444
25  425
26  408
27  380
28  370
29  372
30  350
31  327
32  303
33  311
34  283
35  263
36  283
37  242
38  213
39  219
40  203
41  202
42  170
43  175
44  180
45  145
46  137
47  139
48  116
49  121
50  117
51  99
52  89
53  82
54  86
55  86
56  92
57  73
58  84
59  63
60  56
61  51
62  47
63  44
64  51
65  51
66  33
67  35
68  27
69  36
70  22
71  30
72  18
73  17
74  27
75  20
76  17
77  18
78  15
79  15
80  8
81  7
82  7
83  7
84  5
85  6
86  8
87  4
88  4
89  7
90  3
91  5
92  3
93  2
94  1
95  3
96  0
97  1
98  0
99  0
