0  1000
1  885
2  799
3  880
4  862
5  911
6  893
7  857
8  784
9  768
10  770
11  753
12  796
13  760
14  674
15  756
16  734
17  787
18  680
19  683
20  708
21  740
22  688
23  636
24  672
25  619
26  692
27  668
28  587
29  598
30  638
31  556
32  597
33  632
34  566
35  526
36  572
37  549
38  485
39  523
40  535
41  528
42  507
43  522
44  503
45  467
46  458
47  465
48  432
49  500
50  402
51  425
52  486
53  430
54  423
55  377
56  401
57  379
58  359
59  343
60  378
61  348
62  325
63  323
64  276
65  315
66  289
67  284
68  251
69  270
70  243
71  243
72  250
73  218
74  217
75  208
76  211
77  182
78  174
79  183
80  192
81  171
82  170
83  149
84  135
85  127
86  120
87  105
88  92
89  81
90  85
91  73
92  72
93  53
94  38
95  34
96  27
97  23
98  9
99  0
